Domain,Phyla,Class,Order,Family,Genera,Species,GTDB_id,Completeness,Contamination,Sample,CPA_count,CPA_binary,NhaB_count,NhaB_binary,NhaC_count,NhaC_binary,NhaD_count,NhaD_binary,Kef,CPA1,NhaA,Undescribed_CPA1,NhaS5,CHX,SOD2,NhaP,CPA1_IDK,GerN,CPA1_SL,Uncharacaterized,IT_count,Antiporter_count,IT_binary,Antiporter_binary,CPA_presence
37,d__Archaea,Aenigmatarchaeota,Aenigmatarchaeia,CG10238-14,CG10238-14,RBG-16-49-10,RBG-16-49-10_sp001784635,GB_GCA_001784635.1,82.71,0.1,Rifle background sediment; well D04 at 16ft depth,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,Present
38,d__Archaea,Aenigmatarchaeota,Aenigmatarchaeia,CG10238-14,EX4484-224,EX4484-224,EX4484-224_sp002254545,GB_GCA_002254545.1,80.51,0.64,deep-sea hydrothermal vent sediments from dive 4484,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,Present
39,d__Archaea,Aenigmatarchaeota,Aenigmatarchaeia,CG10238-14,JAGHAA01,JAGHAA01,JAGHAA01_sp021161745,GB_GCA_021161745.1,88.13,0,marine hydrothermal sediment,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,Present
40,d__Archaea,Aenigmatarchaeota,Aenigmatarchaeia,CG10238-14,SCSR01,CALIKW01,CALIKW01_sp038998005,GB_GCA_038998005.1,81.41,1.7,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Absent
41,d__Archaea,Aenigmatarchaeota,Aenigmatarchaeia,CG10238-14,SCSR01,CALIKW01,CALIKW01_sp938017915,GB_GCA_938017915.1,76.93,0.03,Seawater,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,Present
42,d__Archaea,Aenigmatarchaeota,Aenigmatarchaeia,CG10238-14,SCSR01,DAIDAX01,DAIDAX01_sp027310405,GB_GCA_027310405.1,88.61,0.31,water,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Absent
43,d__Archaea,Aenigmatarchaeota,Aenigmatarchaeia,CG10238-14,SCSR01,DATDXT01,DATDXT01_sp035289185,GB_GCA_035289185.1,77.3,2.23,none,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,Present
44,d__Archaea,Aenigmatarchaeota,Aenigmatarchaeia,CG10238-14,SCSR01,DATEAB01,DATEAB01_sp035288545,GB_GCA_035288545.1,79.15,0.36,none,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,Present
45,d__Archaea,Aenigmatarchaeota,Aenigmatarchaeia,CG10238-14,SCSR01,DATEUU01,DATEUU01_sp035283025,GB_GCA_035283025.1,71.36,0.75,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Absent
46,d__Archaea,Aenigmatarchaeota,Aenigmatarchaeia,CG10238-14,SCSR01,JABABT01,JABABT01_sp014238095,GB_GCA_014238095.1,92.94,0.4,pooled samples from sponge host and sea water,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Absent
47,d__Archaea,Aenigmatarchaeota,Aenigmatarchaeia,CG10238-14,SCSR01,JABABT01,JABABT01_sp016213525,GB_GCA_016213525.1,89.14,0.13,groundwater,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,Present
48,d__Archaea,Aenigmatarchaeota,Aenigmatarchaeia,CG10238-14,SCSR01,JACOWB01,JACOWB01_sp016177025,GB_GCA_016177025.1,86.3,0.48,groundwater,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Absent
49,d__Archaea,Aenigmatarchaeota,Aenigmatarchaeia,CG10238-14,SCSR01,JACOWB01,JACOWB01_sp016187415,GB_GCA_016187415.1,93.9,0.7,groundwater,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Absent
50,d__Archaea,Aenigmatarchaeota,Aenigmatarchaeia,CG10238-14,SCSR01,JACOWB01,JACOWB01_sp018920185,GB_GCA_018920185.1,92.53,0.05,Hot spring sediment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Absent
51,d__Archaea,Aenigmatarchaeota,Aenigmatarchaeia,CG10238-14,SCSR01,JACPAE01,JACPAE01_sp016181005,GB_GCA_016181005.1,92.2,0.05,groundwater,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,Present
52,d__Archaea,Aenigmatarchaeota,Aenigmatarchaeia,CG10238-14,SCSR01,JACPAE01,JACPAE01_sp016187385,GB_GCA_016187385.1,91.32,0.15,groundwater,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,Present
53,d__Archaea,Aenigmatarchaeota,Aenigmatarchaeia,CG10238-14,SCSR01,JACPJS01,JACPJS01_sp016187405,GB_GCA_016187405.1,73.05,0.23,groundwater,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Absent
54,d__Archaea,Aenigmatarchaeota,Aenigmatarchaeia,CG10238-14,SCSR01,JACQIA01,JACQIA01_sp016198705,GB_GCA_016198705.1,96.8,2.24,groundwater,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Absent
55,d__Archaea,Aenigmatarchaeota,Aenigmatarchaeia,CG10238-14,SCSR01,JAGVVV01,JAGVVV01_sp018304615,GB_GCA_018304615.1,89.48,0.55,Rifle well FP-101 under low O2 conditions; 0.1 micron filter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Absent
56,d__Archaea,Aenigmatarchaeota,Aenigmatarchaeia,CG10238-14,SCSR01,JAPLUY01,JAPLUY01_sp026397385,GB_GCA_026397385.1,77.75,0.15,lake sediment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Absent
57,d__Archaea,Aenigmatarchaeota,Aenigmatarchaeia,CG10238-14,SCSR01,JASEGN01,JASEGN01_sp030018055,GB_GCA_030018055.1,84.74,3.8,groundwater,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Absent
58,d__Archaea,Aenigmatarchaeota,Aenigmatarchaeia,CG10238-14,SCSR01,JASEGQ01,JASEGQ01_sp030017875,GB_GCA_030017875.1,86.85,0.28,groundwater,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Absent
59,d__Archaea,Aenigmatarchaeota,Aenigmatarchaeia,CG10238-14,SCSR01,JAUWXZ01,JAUWXZ01_sp030616125,GB_GCA_030616125.1,90.35,2.21,cold seep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Absent
60,d__Archaea,Aenigmatarchaeota,Aenigmatarchaeia,CG10238-14,SCSR01,JAUWZS01,JAUWZS01_sp030615205,GB_GCA_030615205.1,88.54,0.65,cold seep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Absent
61,d__Archaea,Aenigmatarchaeota,Aenigmatarchaeia,CG10238-14,SCSR01,JAVZGQ01,JAVZGQ01_sp038998365,GB_GCA_038998365.1,85.76,0.33,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Absent
62,d__Archaea,Aenigmatarchaeota,Aenigmatarchaeia,CG10238-14,SCSR01,JAVZGQ01,JAVZGQ01_sp038998585,GB_GCA_038998585.1,88.26,0.58,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Absent
63,d__Archaea,Aenigmatarchaeota,Aenigmatarchaeia,CG10238-14,SCSR01,JAVZGQ01,JAVZGQ01_sp038999725,GB_GCA_038999725.1,93.05,0.22,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Absent
64,d__Archaea,Aenigmatarchaeota,Aenigmatarchaeia,CG10238-14,SCSR01,JAVZGQ01,JAVZGQ01_sp039000415,GB_GCA_039000415.1,73.81,4.29,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Absent
65,d__Archaea,Aenigmatarchaeota,Aenigmatarchaeia,CG10238-14,SCSR01,JAVZGQ01,JAVZGQ01_sp039000425,GB_GCA_039000425.1,91.01,3.21,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Absent
66,d__Archaea,Aenigmatarchaeota,Aenigmatarchaeia,CG10238-14,SCSR01,JAVZGQ01,JAVZGQ01_sp039000685,GB_GCA_039000685.1,83.5,1.02,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Absent
67,d__Archaea,Aenigmatarchaeota,Aenigmatarchaeia,CG10238-14,SCSR01,JAVZGQ01,JAVZGQ01_sp039090665,GB_GCA_039090665.1,90.57,0.12,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Absent
68,d__Archaea,Aenigmatarchaeota,Aenigmatarchaeia,CG10238-14,SCSR01,JAVZHQ01,JAVZHQ01_sp037440965,GB_GCA_037440965.1,83.82,0.18,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Absent
69,d__Archaea,Aenigmatarchaeota,Aenigmatarchaeia,CG10238-14,SCSR01,JAVZHQ01,JAVZHQ01_sp038998335,GB_GCA_038998335.1,90.41,0.33,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Absent
70,d__Archaea,Aenigmatarchaeota,Aenigmatarchaeia,CG10238-14,SCSR01,JAVZHQ01,JAVZHQ01_sp039000165,GB_GCA_039000165.1,91.59,0.72,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Absent
71,d__Archaea,Aenigmatarchaeota,Aenigmatarchaeia,CG10238-14,SCSR01,JAVZHQ01,JAVZHQ01_sp039004015,GB_GCA_039004015.1,69.62,0.01,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Absent
72,d__Archaea,Aenigmatarchaeota,Aenigmatarchaeia,CG10238-14,SCSR01,JAVZHQ01,JAVZHQ01_sp039091285,GB_GCA_039091285.1,80.47,4.92,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Absent
73,d__Archaea,Aenigmatarchaeota,Aenigmatarchaeia,CG10238-14,SCSR01,JAWADS01,JAWADS01_sp038998625,GB_GCA_038998625.1,91.82,0.28,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Absent
74,d__Archaea,Aenigmatarchaeota,Aenigmatarchaeia,CG10238-14,SCSR01,JAWCEU01,JAWCEU01_sp039092155,GB_GCA_039092155.1,81.5,0.2,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Absent
75,d__Archaea,Aenigmatarchaeota,Aenigmatarchaeia,CG10238-14,SCSR01,JAWCME01,JAWCME01_sp039091335,GB_GCA_039091335.1,87.42,1.11,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Absent
76,d__Archaea,Aenigmatarchaeota,Aenigmatarchaeia,CG10238-14,SCSR01,SCSR01,SCSR01_sp004297575,GB_GCA_004297575.1,84.59,1.76,groundwater,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Absent
77,d__Archaea,Aenigmatarchaeota,Aenigmatarchaeia,CG10238-14,SpSt-28,JAGGZO01,JAGGZO01_sp021161995,GB_GCA_021161995.1,85.45,1.2,marine hydrothermal sediment,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,Present
78,d__Archaea,Aenigmatarchaeota,Aenigmatarchaeia,CG10238-14,SpSt-28,JAHLMO01,JAHLMO01_sp018920305,GB_GCA_018920305.1,94.76,0.5,Hot spring sediment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Absent
79,d__Archaea,Aenigmatarchaeota,Aenigmatarchaeia,CG10238-14,SpSt-28,JAHLMO01,JAHLMO01_sp023256115,GB_GCA_023256115.1,82.39,2.43,thermophilic sediment from neutral hot spring,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,Present
80,d__Archaea,Aenigmatarchaeota,Aenigmatarchaeia,CG10238-14,SpSt-28,JAHLMO01,JAHLMO01_sp038733315,GB_GCA_038733315.1,94.12,4.22,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Absent
81,d__Archaea,Aenigmatarchaeota,Aenigmatarchaeia,CG10238-14,SpSt-28,JAHLMO01,JAHLMO01_sp038742305,GB_GCA_038742305.1,90.84,0.33,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Absent
82,d__Archaea,Aenigmatarchaeota,Aenigmatarchaeia,CG10238-14,SpSt-28,JAHLMO01,JAHLMO01_sp038997165,GB_GCA_038997165.1,94.51,2.62,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Absent
83,d__Archaea,Aenigmatarchaeota,Aenigmatarchaeia,CG10238-14,SpSt-28,JAHLMO01,JAHLMO01_sp038997305,GB_GCA_038997305.1,91.85,0.48,none,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,Present
84,d__Archaea,Aenigmatarchaeota,Aenigmatarchaeia,CG10238-14,SpSt-28,JAHLMO01,JAHLMO01_sp038997355,GB_GCA_038997355.1,79.82,0.33,none,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,Present
85,d__Archaea,Aenigmatarchaeota,Aenigmatarchaeia,CG10238-14,SpSt-28,JANXEB01,JANXEB01_sp025058985,GB_GCA_025058985.1,85.22,2.3,brown biofilm from alkaline hot spring,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Absent
86,d__Archaea,Aenigmatarchaeota,Aenigmatarchaeia,CG10238-14,SpSt-28,JANXEB01,JANXEB01_sp039000985,GB_GCA_039000985.1,89.7,1.84,none,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,Present
87,d__Archaea,Aenigmatarchaeota,Aenigmatarchaeia,CG10238-14,SpSt-28,SpSt-28,SpSt-28_sp020832825,GB_GCA_020832825.1,82.51,1.04,Sediments from shelf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Absent
88,d__Archaea,Aenigmatarchaeota,Aenigmatarchaeia,CG10238-14,SpSt-28,SpSt-28,SpSt-28_sp025057985,GB_GCA_025057985.1,88.8,0.07,brown biofilm from alkaline hot spring,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Absent
89,d__Archaea,Aenigmatarchaeota,Aenigmatarchaeia,CG10238-14,SpSt-28,SpSt-28,SpSt-28_sp032249395,GB_GCA_032249395.1,89.5,0.1,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Absent
90,d__Archaea,Aenigmatarchaeota,Aenigmatarchaeia,CG10238-14,SpSt-28,SpSt-28,SpSt-28_sp036824555,GB_GCA_036824555.1,83.45,0.13,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Absent
