GTDB_id	Uncharcterized	Kef	CPA1	CPA2	NhaA	NhaS5	Uncharacterized_Archaea	Uncharacterized_prokarya	DxK_Pseudomonadota	NxK_Gammaproteobacteriota	Latescibacteriota
GB_GCA_040514265.1	0	1	0	0	0	0	0	0	0	0	0
GB_GCA_041645055.1	0	1	0	1	0	0	0	0	0	0	0
GB_GCA_023131225.1	0	0	1	0	0	0	0	0	0	0	0
GB_GCA_030704845.1	0	1	1	1	0	0	0	0	0	0	0
GB_GCA_028693395.1	0	1	0	0	0	0	0	0	0	0	0
RS_GCF_000739575.1	0	1	1	0	0	0	0	0	0	0	0
GB_GCA_034659235.1	0	1	1	0	0	0	0	0	0	0	0
GB_GCA_029987235.1	0	2	0	1	0	0	0	0	0	0	0
GB_GCA_944321985.1	0	2	0	1	0	0	0	0	0	0	0
GB_GCA_014859725.1	0	1	1	1	0	0	0	0	0	0	0
GB_GCA_024275755.1	0	0	0	1	0	0	0	0	0	0	0
GB_GCA_030665925.1	0	0	0	2	0	0	0	0	0	0	0
GB_GCA_018238205.1	0	0	1	0	0	0	0	1	0	0	0
RS_GCF_003287355.1	0	1	1	0	0	0	0	0	0	0	0
GB_GCA_018303405.1	0	2	0	2	0	0	0	0	0	0	0
RS_GCF_024218795.1	0	3	5	0	0	0	0	0	0	0	0
GB_GCA_029907755.1	0	0	0	1	0	0	1	0	0	0	0
GB_GCA_028686985.1	0	1	0	1	0	0	0	0	0	0	0
GB_GCA_031289975.1	0	0	3	0	0	0	0	0	0	0	0
GB_GCA_963667665.1	0	1	1	0	0	0	0	0	0	0	0
GB_GCA_026986455.1	0	0	1	2	0	0	0	0	0	0	0
GB_GCA_937875805.1	0	1	1	2	0	0	0	0	0	0	0
RS_GCF_020150815.1	0	1	4	3	0	0	0	0	0	0	0
RS_GCF_021431925.1	0	1	1	0	0	0	0	0	0	0	0
GB_GCA_029785375.1	0	0	3	1	0	0	0	0	0	0	0
GB_GCA_027062725.1	0	0	0	1	0	0	0	0	0	0	0
GB_GCA_038045985.1	0	1	0	0	0	0	0	0	0	0	0
GB_GCA_023270055.1	0	0	1	1	0	0	0	0	0	0	0
GB_GCA_038891515.1	0	0	0	1	0	0	0	0	0	0	0
GB_GCA_038824665.1	1	0	0	0	0	0	0	0	0	0	0
GB_GCA_021803245.1	0	0	0	1	0	0	0	0	0	0	0
GB_GCA_003702465.1	0	1	1	1	0	0	0	0	0	0	0
GB_GCA_028276165.1	0	0	0	1	0	0	0	0	0	0	0
RS_GCF_029338315.1	0	2	1	1	0	0	0	0	0	0	0
GB_GCA_001563305.1	0	3	0	1	0	0	0	0	0	0	0
RS_GCF_037080055.1	0	1	2	0	0	0	0	0	0	0	0
GB_GCA_015522345.1	1	0	0	3	0	0	0	0	0	0	0
GB_GCA_021797735.1	0	0	1	1	0	0	0	0	0	0	0
RS_GCF_000970025.1	0	2	1	0	0	0	0	0	0	0	0
GB_GCA_030539615.1	0	1	1	0	0	0	0	0	0	0	0
GB_GCA_003702525.1	0	0	1	1	0	0	0	0	0	0	0
GB_GCA_003569705.1	0	1	0	0	0	0	0	0	0	0	0
GB_GCA_016211185.1	0	2	0	1	0	0	0	0	0	0	0
RS_GCF_000243455.1	0	0	2	1	0	0	0	0	0	0	0
RS_GCF_012027325.1	1	0	1	5	0	0	0	0	0	0	0
GB_GCA_025920435.1	0	0	1	0	0	0	0	0	0	0	0
GB_GCA_021158665.1	0	1	0	1	0	0	0	0	0	0	0
RS_GCF_003605575.1	0	1	2	0	0	0	0	0	0	0	0
RS_GCF_000474235.1	0	0	2	1	0	0	0	0	0	0	0
GB_GCA_015662175.1	1	0	0	1	0	0	0	0	0	0	0
GB_GCA_035541835.1	0	1	0	0	0	0	0	0	0	0	0
GB_GCA_030038445.1	0	0	2	0	0	0	0	0	0	0	0
GB_GCA_041669745.1	0	0	0	1	0	0	0	0	0	0	0
GB_GCA_024399155.1	0	0	0	1	0	0	0	0	0	0	0
GB_GCA_003599145.1	0	1	1	2	0	0	0	0	0	0	0
RS_GCF_004765785.1	0	1	4	0	0	0	0	0	0	0	0
GB_GCA_022567895.1	0	1	0	1	0	0	0	0	0	0	0
GB_GCA_027056155.1	0	0	0	0	0	0	0	1	0	0	0
GB_GCA_035630235.1	0	2	0	0	0	0	0	0	0	0	0
GB_GCA_035390665.1	0	1	1	0	0	0	0	0	0	0	0
GB_GCA_017524805.1	0	2	0	1	0	0	0	0	0	0	0
RS_GCF_007671685.1	0	1	1	0	0	0	0	0	0	0	0
GB_GCA_009377575.1	0	3	0	3	0	0	0	0	0	0	0
GB_GCA_039793485.1	0	0	1	0	0	0	0	0	0	0	0
GB_GCA_022749845.1	0	0	0	3	0	0	0	0	0	0	0
RS_GCF_900196725.1	0	1	0	2	0	0	0	0	0	0	0
GB_GCA_022749995.1	0	0	0	2	0	0	0	0	0	0	0
GB_GCA_029776125.1	0	1	0	0	0	0	0	0	0	0	0
GB_GCA_016180275.1	0	2	0	1	0	0	0	0	0	0	0
GB_GCA_028714395.1	0	0	1	1	0	0	0	0	0	0	0
GB_GCA_038872535.1	0	0	2	0	0	0	0	0	0	0	0
RS_GCF_037335815.1	0	1	4	0	0	0	0	0	0	0	0
GB_GCA_035505975.1	0	1	2	1	0	0	0	0	0	0	0
GB_GCA_017857195.1	0	0	0	0	0	0	1	0	0	0	0
GB_GCA_009776805.1	0	0	1	0	0	0	0	0	0	0	0
GB_GCA_032250645.1	0	1	0	2	0	0	0	0	0	0	0
GB_GCA_027372655.1	0	0	1	1	0	0	0	0	0	0	0
RS_GCF_937146585.1	0	1	2	0	0	0	0	0	0	0	0
GB_GCA_028688535.1	0	1	2	0	0	0	0	0	0	0	0
GB_GCA_002503825.1	0	3	1	2	0	0	0	0	0	0	0
GB_GCA_029688825.1	0	1	5	1	0	0	0	0	0	0	0
GB_GCA_025061115.1	0	0	2	1	0	0	0	0	0	0	0
GB_GCA_021801905.1	0	0	0	1	0	0	0	0	0	0	0
GB_GCA_021818765.1	0	0	1	0	0	0	0	0	0	0	0
GB_GCA_013153845.1	0	0	2	1	0	0	0	0	0	0	0
RS_GCF_005435165.1	0	1	1	0	0	0	0	0	0	0	0
RS_GCF_029688865.1	0	6	2	0	0	2	0	0	0	0	0
GB_GCA_001273335.1	0	0	1	0	0	0	0	0	0	0	0
GB_GCA_016109435.1	0	4	0	2	0	0	0	0	0	0	0
GB_GCA_026014495.1	0	0	0	1	0	0	0	0	0	0	0
GB_GCA_036395115.1	0	1	0	2	0	0	0	0	0	0	0
GB_GCA_021852265.1	0	0	2	1	0	0	0	0	0	0	0
RS_GCF_020614395.1	0	0	1	0	0	0	0	0	0	0	0
RS_GCF_002507545.1	0	1	1	1	0	0	0	0	0	0	0
GB_GCA_036566445.1	0	1	0	1	0	0	0	0	0	0	0
GB_GCA_035288545.1	0	0	1	0	0	0	0	0	0	0	0
GB_GCA_019662115.1	0	1	0	0	0	0	0	0	0	0	0
GB_GCA_030627385.1	0	1	1	0	0	0	0	0	0	0	0
RS_GCF_008709555.1	0	0	1	0	0	0	0	0	0	0	0
GB_GCA_030774295.1	0	1	0	2	0	0	0	0	0	0	0
RS_GCF_003351865.1	0	0	1	1	0	0	0	0	0	0	0
GB_GCA_036475875.1	1	0	0	1	0	0	0	0	0	0	0
RS_GCF_016757965.1	0	0	1	1	0	0	0	0	0	0	0
GB_GCA_023245755.1	0	1	0	1	0	0	0	0	0	0	0
RS_GCF_000258425.1	0	0	0	0	0	0	1	0	0	0	0
GB_GCA_014859835.1	0	2	1	2	0	0	0	0	0	0	0
GB_GCA_003491285.1	0	0	3	1	0	0	0	0	0	0	0
GB_GCA_018304045.1	0	1	0	0	0	0	0	0	0	0	0
GB_GCA_003661105.1	0	1	1	1	0	0	0	0	0	0	0
GB_GCA_024276695.1	0	1	1	1	0	0	0	0	0	0	0
GB_GCA_014523695.1	0	2	1	1	0	0	0	0	0	0	0
GB_GCA_028343855.1	0	1	1	1	0	0	0	0	0	0	0
RS_GCF_037389425.1	0	0	0	3	0	0	1	0	0	0	0
GB_GCA_016931955.1	0	1	0	2	0	0	0	0	0	0	0
GB_GCA_027886885.1	0	0	1	1	0	0	0	0	0	0	0
GB_GCA_029637525.1	1	0	0	3	0	0	0	0	0	0	0
GB_GCA_902511735.1	0	1	0	0	0	0	0	0	0	0	0
GB_GCA_038045965.1	0	1	0	0	0	0	0	0	0	0	0
GB_GCA_001915065.1	0	2	1	1	0	0	0	0	0	0	0
GB_GCA_963579105.1	0	0	1	1	0	0	0	0	0	0	0
GB_GCA_021796895.1	0	1	1	2	0	0	0	0	0	0	0
GB_GCA_041499475.1	0	3	0	2	0	0	0	0	0	0	0
GB_GCA_021848045.1	0	0	2	1	0	0	0	0	0	0	0
GB_GCA_030655715.1	0	1	0	0	0	0	0	0	0	0	0
GB_GCA_002506535.1	0	1	0	0	0	0	0	0	0	0	0
GB_GCA_025059075.1	1	0	0	0	0	0	0	0	0	0	0
GB_GCA_030609445.1	0	0	1	1	0	0	0	0	0	0	0
GB_GCA_027310795.1	0	0	1	0	0	0	0	0	0	0	0
GB_GCA_027492035.1	0	0	0	0	0	0	0	1	0	0	0
GB_GCA_016929855.1	0	1	1	1	0	0	0	0	0	0	0
GB_GCA_038201105.1	0	1	0	2	0	0	0	0	0	0	0
GB_GCA_018304105.1	0	1	0	0	0	0	0	0	0	0	0
GB_GCA_029250275.1	0	2	0	1	0	0	0	0	0	0	0
GB_GCA_024274695.1	0	1	1	1	0	0	0	0	0	0	0
GB_GCA_018303825.1	0	1	0	0	0	0	0	0	0	0	0
RS_GCF_000337195.1	0	1	2	1	0	0	0	0	0	0	0
GB_GCA_041653635.1	0	1	2	2	0	0	0	0	0	0	0
GB_GCA_035559735.1	0	1	0	0	0	0	0	0	0	0	0
GB_GCA_023659865.1	0	1	0	1	0	0	0	0	0	0	0
GB_GCA_016185555.1	0	1	0	0	0	0	0	0	0	0	0
GB_GCA_001563905.1	0	3	0	0	0	0	0	0	0	0	0
GB_GCA_026014705.1	0	1	0	0	0	0	0	0	0	0	0
GB_GCA_029933895.1	0	1	1	0	0	0	0	0	0	0	0
GB_GCA_012798365.1	0	2	1	1	0	0	0	0	0	0	0
GB_GCA_030620695.1	0	0	1	0	0	0	0	0	0	0	0
RS_GCF_900110465.1	0	1	4	1	0	0	0	0	0	0	0
GB_GCA_030699005.1	0	1	0	0	0	0	0	0	0	0	0
GB_GCA_016177165.1	0	1	1	0	0	0	0	0	0	0	0
GB_GCA_013151465.1	0	0	1	0	0	0	0	0	0	0	0
GB_GCA_003331425.1	0	1	1	1	0	0	0	0	0	0	0
GB_GCA_002503845.1	0	0	1	0	0	0	0	0	0	0	0
GB_GCA_026414185.1	0	1	1	0	0	0	0	0	0	0	0
GB_GCA_021199865.1	0	1	0	0	0	0	0	0	0	0	0
GB_GCA_016181885.1	0	1	0	0	0	0	0	0	0	0	0
GB_GCA_036380415.1	0	1	0	0	0	0	0	0	0	0	0
GB_GCA_032125915.1	0	1	1	2	0	0	0	0	0	0	0
RS_GCF_023093535.1	0	1	1	0	0	0	0	0	0	0	0
GB_GCA_026014515.1	0	0	4	0	0	0	0	1	0	0	0
GB_GCA_021163145.1	0	0	1	0	0	0	0	0	0	0	0
GB_GCA_041287325.1	1	0	0	0	0	0	0	0	0	0	0
RS_GCF_000007185.1	0	0	1	0	0	0	0	0	0	0	0
GB_GCA_025936955.1	0	0	1	0	0	0	0	0	0	0	0
GB_GCA_028715985.1	0	1	1	1	0	0	0	0	0	0	0
GB_GCA_002011115.2	0	1	1	0	0	0	0	0	0	0	0
GB_GCA_963662995.1	0	1	1	1	0	0	0	0	0	0	0
GB_GCA_002495315.1	0	1	0	1	0	0	0	0	0	0	0
GB_GCA_030041295.1	0	1	1	2	0	0	0	0	0	0	0
GB_GCA_029775965.1	0	0	1	2	0	0	0	0	0	0	0
GB_GCA_030168575.1	0	2	0	1	0	0	0	0	0	0	0
GB_GCA_016192995.1	0	2	1	1	0	0	0	0	0	0	0
GB_GCA_021157925.1	1	0	0	2	0	0	2	0	0	0	0
GB_GCA_038883995.1	0	0	3	2	0	0	0	0	0	0	0
GB_GCA_001543015.1	0	1	1	1	0	0	0	0	0	0	0
GB_GCA_003650865.1	0	0	0	1	0	0	0	0	0	0	0
GB_GCA_041305085.1	0	2	1	1	0	0	0	0	0	0	0
RS_GCF_014078525.1	0	2	1	3	0	0	0	0	0	0	0
GB_GCA_015063225.1	0	2	0	2	0	0	0	0	0	0	0
GB_GCA_004212135.1	0	0	1	0	0	0	0	1	0	0	0
GB_GCA_003230355.1	0	0	1	1	0	0	0	1	0	0	0
GB_GCA_035355675.1	0	3	1	0	0	0	0	0	0	0	0
GB_GCA_020833325.1	1	0	0	0	0	0	0	0	0	0	0
RS_GCF_024266705.1	0	1	5	2	0	0	0	0	0	0	0
GB_GCA_035527135.1	0	1	1	0	0	0	0	0	0	0	0
GB_GCA_023379385.1	0	1	0	1	0	0	0	0	0	0	0
GB_GCA_030697975.1	0	1	0	1	0	0	0	0	0	0	0
GB_GCA_041305345.1	0	2	4	1	0	0	0	0	0	0	0
RS_GCF_000016385.1	1	0	0	0	0	0	0	0	0	0	0
GB_GCA_000375685.1	0	0	0	1	0	0	0	0	0	0	0
GB_GCA_003021175.1	0	0	1	0	0	0	0	0	0	0	0
RS_GCF_029889805.1	0	1	2	0	0	0	0	0	0	0	0
GB_GCA_903877165.1	0	0	0	1	0	0	0	0	0	0	0
GB_GCA_002010065.2	0	1	1	1	0	0	0	0	0	0	0
GB_GCA_040268405.1	0	1	1	3	0	0	0	0	0	0	0
RS_GCF_002153915.1	0	2	0	0	0	1	0	0	0	0	0
GB_GCA_038820005.1	1	0	0	0	0	0	0	0	0	0	0
RS_GCF_014647155.1	0	1	1	1	0	0	0	0	0	0	0
GB_GCA_028343215.1	0	0	0	1	0	0	0	0	0	0	0
RS_GCF_032594095.1	0	1	0	0	0	0	0	0	0	0	0
GB_GCA_003019535.1	0	0	2	1	0	0	0	0	0	0	0
GB_GCA_022848805.1	0	0	1	2	0	0	0	0	0	0	0
RS_GCF_024464655.1	0	1	1	0	0	0	0	0	0	0	0
GB_GCA_023264635.1	0	1	0	2	0	0	0	0	0	0	0
GB_GCA_005877185.1	0	1	1	0	0	0	0	0	0	0	0
RS_GCF_029848115.1	0	1	2	0	0	0	0	0	0	0	0
RS_GCF_009663395.1	0	0	1	0	0	0	0	0	0	0	0
GB_GCA_018653485.1	0	1	0	0	0	0	0	0	0	0	0
GB_GCA_027006785.1	1	0	1	1	0	0	0	0	0	0	0
GB_GCA_023247085.1	0	1	0	0	0	0	0	0	0	0	0
GB_GCA_946480575.1	0	3	0	1	0	0	0	0	0	0	0
GB_GCA_003352285.1	0	3	1	3	0	0	0	0	0	0	0
GB_GCA_031267895.1	0	1	0	1	0	0	0	0	0	0	0
GB_GCA_000499765.1	0	1	2	0	0	0	0	0	0	0	0
GB_GCA_025451075.1	0	0	2	0	0	0	0	0	0	0	0
GB_GCA_000830295.1	0	2	1	2	0	0	0	0	0	0	0
RS_GCF_012027355.1	1	0	1	4	0	0	0	0	0	0	0
GB_GCA_028274925.1	0	0	1	0	0	0	0	0	0	0	0
RS_GCF_018609725.1	0	0	1	3	0	0	0	0	0	0	0
RS_GCF_031624395.1	0	1	3	0	0	0	0	0	0	0	0
GB_GCA_038997305.1	0	1	0	0	0	0	0	0	0	0	0
GB_GCA_023379845.1	0	0	1	1	0	0	0	0	0	0	0
GB_GCA_017609085.1	0	1	0	1	0	0	0	0	0	0	0
GB_GCA_003154335.1	0	1	0	1	0	0	0	0	0	0	0
GB_GCA_030605515.1	0	0	1	1	0	0	0	0	0	0	0
GB_GCA_963586845.1	0	1	0	1	0	0	0	0	0	0	0
GB_GCA_021851145.1	0	0	0	1	0	0	0	0	0	0	0
RS_GCF_000337415.1	0	1	3	0	0	0	0	0	0	0	0
GB_GCA_027075325.1	1	0	0	5	0	0	0	0	0	0	0
GB_GCA_038895395.1	0	2	0	0	0	0	0	0	0	0	0
GB_GCA_034679605.1	0	0	0	2	0	0	0	0	0	0	0
GB_GCA_018894775.1	0	1	0	0	0	0	0	0	0	0	0
GB_GCA_038872135.1	1	0	0	1	0	0	0	0	0	0	0
RS_GCF_019599465.1	0	2	3	0	0	0	0	0	0	0	0
GB_GCA_015520605.1	0	0	0	1	0	0	0	0	0	0	0
GB_GCA_002494495.1	0	0	1	0	0	0	0	0	0	0	0
RS_GCF_000151205.2	1	0	1	4	0	0	0	0	0	0	0
GB_GCA_003551675.1	0	3	1	0	0	0	0	0	0	0	0
GB_GCA_015523125.1	1	0	2	2	0	0	0	1	0	0	0
RS_GCF_001412615.1	0	0	0	1	0	0	0	0	0	0	0
GB_GCA_905067555.1	0	1	0	0	0	0	0	0	0	0	0
GB_GCA_040753215.1	0	1	2	2	0	0	0	0	0	0	0
RS_GCF_014647115.1	0	1	1	0	0	0	0	0	0	0	0
RS_GCF_020405185.1	0	1	2	1	0	0	0	0	0	0	0
RS_GCF_013401515.1	0	1	4	1	0	0	0	0	0	0	0
GB_GCA_902386115.1	0	1	0	1	0	0	0	0	0	0	0
GB_GCA_903900025.1	0	1	0	0	0	0	0	0	0	0	0
GB_GCA_018670095.1	0	1	1	1	0	0	0	0	0	0	0
GB_GCA_038801785.1	0	1	0	1	0	0	0	0	0	0	0
GB_GCA_009903775.1	0	0	0	2	0	0	0	0	0	0	0
RS_GCF_946404245.1	0	1	0	0	0	0	0	0	0	0	0
GB_GCA_000830315.1	0	1	0	1	0	0	0	0	0	0	0
GB_GCA_018676855.1	0	1	1	0	0	0	0	0	0	0	0
RS_GCF_900114435.1	0	1	4	0	0	1	0	0	0	0	0
GB_GCA_000405225.1	0	1	0	0	0	0	0	0	0	0	0
GB_GCA_030669595.1	0	0	1	0	0	0	0	0	0	0	0
GB_GCA_013415595.1	0	1	0	0	0	0	0	0	0	0	0
GB_GCA_003649665.1	0	0	1	1	0	0	1	0	0	0	0
GB_GCA_018816205.1	0	1	0	1	0	0	0	0	0	0	0
GB_GCA_002508425.1	0	2	0	1	0	0	0	0	0	0	0
GB_GCA_021818665.1	0	0	2	0	0	0	0	0	0	0	0
GB_GCA_013415575.1	0	1	0	1	0	0	0	0	0	0	0
GB_GCA_005877075.1	0	0	0	2	0	0	0	0	0	0	0
GB_GCA_021325295.1	0	1	2	0	0	0	0	0	0	0	0
RS_GCF_007421925.1	0	0	1	0	0	0	0	0	0	0	0
GB_GCA_023409695.1	0	0	2	0	0	0	0	0	0	0	0
GB_GCA_030861545.1	0	2	0	1	0	0	0	0	0	0	0
GB_GCA_010028495.1	0	2	0	1	0	0	0	0	0	0	0
GB_GCA_003695435.1	0	1	1	1	0	0	0	0	0	0	0
GB_GCA_001443365.1	0	1	0	1	0	0	0	0	0	0	0
RS_GCF_029814175.1	0	1	2	0	0	0	0	0	0	0	0
GB_GCA_021817305.1	0	0	1	0	0	0	0	0	0	0	0
GB_GCA_025058345.1	1	0	0	0	0	0	0	0	0	0	0
GB_GCA_002495065.1	0	2	0	1	0	0	0	0	0	0	0
GB_GCA_009780575.1	0	0	0	1	0	0	0	0	0	0	0
RS_GCF_004799645.1	0	4	2	0	0	2	0	0	0	0	0
GB_GCA_038891055.1	0	1	0	0	0	0	0	0	0	0	0
GB_GCA_023251795.1	0	1	0	1	0	0	0	0	0	0	0
GB_GCA_013138615.1	0	0	1	0	0	0	0	0	0	0	0
GB_GCA_038851915.1	0	0	1	0	0	0	0	0	0	0	0
GB_GCA_021107855.1	0	2	0	0	0	0	0	0	0	0	0
GB_GCA_013043295.1	0	2	1	0	0	0	0	0	0	0	0
GB_GCA_027316895.1	0	0	1	1	0	0	0	0	0	0	0
GB_GCA_041548445.1	0	1	1	0	0	0	0	1	0	0	0
GB_GCA_029785825.1	0	0	4	1	0	0	0	0	0	0	0
RS_GCF_012027305.1	1	0	1	4	0	0	0	0	0	0	0
GB_GCA_028702835.1	0	0	0	3	0	0	0	0	0	0	0
GB_GCA_038851325.1	0	1	1	1	0	0	0	0	0	0	0
GB_GCA_028867145.1	0	1	0	0	0	0	0	0	0	0	0
RS_GCF_016706325.1	0	0	1	0	0	0	0	0	0	0	0
GB_GCA_002897655.1	0	1	0	1	0	0	0	0	0	0	0
GB_GCA_025920305.1	0	0	1	0	0	0	0	0	0	0	0
GB_GCA_018896675.1	0	2	1	1	0	0	0	0	0	0	0
RS_GCF_024500045.1	0	1	0	0	0	1	0	0	0	0	0
GB_GCA_003661265.1	1	0	0	0	0	0	0	0	0	0	0
GB_GCA_021798415.1	0	0	1	2	0	0	0	0	0	0	0
GB_GCA_021797895.1	0	0	1	1	0	0	0	0	0	0	0
GB_GCA_003021785.1	0	0	1	0	0	0	0	0	0	0	0
GB_GCA_013867335.1	0	1	1	2	0	0	0	0	0	0	0
GB_GCA_007127385.1	0	1	0	1	0	0	0	0	0	0	0
RS_GCF_000371805.1	0	0	1	1	0	0	0	0	0	0	0
GB_GCA_041479225.1	0	0	0	1	0	0	0	0	0	0	0
GB_GCA_034190605.1	0	1	0	1	0	0	0	0	0	0	0
GB_GCA_038734275.1	0	0	0	0	0	0	1	0	0	0	0
GB_GCA_003136075.1	0	1	0	0	0	0	0	0	0	0	0
GB_GCA_003020925.1	0	0	2	0	0	0	0	0	0	0	0
GB_GCA_030666035.1	0	0	0	2	0	0	0	0	0	0	0
GB_GCA_016839815.1	0	0	0	0	1	0	0	2	0	0	0
GB_GCA_018661705.1	0	1	1	2	0	0	0	0	0	0	0
GB_GCA_018302185.1	0	2	0	0	0	0	0	0	0	0	0
GB_GCA_030040775.1	0	0	0	2	0	0	0	0	0	0	0
GB_GCA_021161865.1	0	0	0	1	0	0	0	0	0	0	0
GB_GCA_002762865.1	0	1	0	1	0	0	0	0	0	0	0
GB_GCA_005240025.1	0	1	0	1	0	0	0	0	0	0	0
GB_GCA_017857595.1	0	0	0	1	0	0	0	0	0	0	0
RS_GCF_037078405.1	0	1	2	1	0	1	0	0	0	0	0
GB_GCA_030037035.1	0	0	0	1	0	0	0	0	0	0	0
GB_GCA_038869515.1	0	1	1	1	0	0	0	0	0	0	0
GB_GCA_033811795.1	0	2	0	0	0	0	0	0	0	0	0
GB_GCA_038046385.1	0	3	0	1	0	0	0	0	0	0	0
GB_GCA_003157895.1	0	1	0	0	0	0	0	0	0	0	0
GB_GCA_026625165.1	0	1	1	1	0	0	0	0	0	0	0
RS_GCF_002025255.2	0	1	2	0	0	0	0	0	0	0	0
GB_GCA_007129135.1	0	2	1	0	0	3	0	0	0	0	0
GB_GCA_021819105.1	0	0	2	0	0	0	0	0	0	0	0
GB_GCA_002779235.1	0	0	1	0	0	0	0	0	0	0	0
GB_GCA_036625595.1	0	1	2	0	0	0	0	0	0	0	0
RS_GCF_029229925.1	0	0	1	0	0	0	0	0	0	0	0
RS_GCF_009741925.1	0	1	1	1	0	0	0	0	0	0	0
GB_GCA_028289805.1	0	0	1	1	0	0	0	0	0	0	0
GB_GCA_024399275.1	0	1	0	1	0	0	0	0	0	0	0
GB_GCA_002688165.1	0	1	0	0	0	0	0	0	0	0	0
GB_GCA_038874135.1	0	0	1	0	0	0	0	0	0	0	0
RS_GCF_000007345.1	0	2	2	1	0	0	0	0	0	0	0
RS_GCF_000007225.1	1	0	0	0	0	0	0	0	0	0	0
GB_GCA_012518265.1	0	0	1	0	0	0	0	0	0	0	0
