GTDB_id	GTDB_tax	Completeness	Contamination	Sample	CPA_count	CPA_binary	NhaB_count	NhaB_binary	NhaC_count	NhaC_binary	NhaD_count	NhaD_binary
GB_GCA_023246445.1	d__Archaea;p__Nanobdellota;c__Nanobdellia;o__SCGC-AAA011-G17;f__JACQNH01;g__JACQNH01;s__JACQNH01_sp023246445	90.83	0.98	groundwater	0	0	0	0	0	0	0	0
GB_GCA_013425425.1	d__Archaea;p__Micrarchaeota;c__Micrarchaeia;o__Anstonellales;f__Bilamarchaeaceae;g__JACCLJ01;s__JACCLJ01_sp013425425	81.01	6.1	sediment from freshwater meromictic lake	1	1	0	0	0	0	0	0
GB_GCA_018302685.1	d__Archaea;p__Nanobdellota;c__Nanobdellia;o__SCGC-AAA011-G17;f__GW2011-AR20;g__JAGVZK01;s__JAGVZK01_sp018302685	78.43	0.2	Rifle well FP-101 under low O2 conditions; 0.1 micron filter	1	1	0	0	0	0	0	0
GB_GCA_039630105.1	d__Archaea;p__Thermoproteota;c__Thermoprotei_A;o__Sulfolobales;f__Acidilobaceae;g__DSZV01;s__DSZV01_sp039630105	90.02	0.71	none	1	1	0	0	0	0	3	1
GB_GCA_013538675.1	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosocaldaceae;g__Nitrosocaldus;s__Nitrosocaldus_tengchongensis	91.3	0	hot spring sediment	1	1	0	0	0	0	2	1
GB_GCA_009778275.1	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomethylophilaceae;g__Methanoplasma;s__Methanoplasma_sp009778275	65.64	0.26	P4 gut compartment	1	1	0	0	0	0	0	0
GB_GCA_041479325.1	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__UBA10834;f__UBA10834;g__COMBO-56-21;s__COMBO-56-21_sp041479325	73.48	3.35	none	5	1	0	0	0	0	1	1
RS_GCF_000337675.1	d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Natrialbaceae;g__Natronococcus;s__Natronococcus_amylolyticus	99.81	1.67	none	10	1	0	0	2	1	1	1
GB_GCA_002719815.1	d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__Poseidoniales;f__Poseidoniaceae;g__MGIIa-L2;s__MGIIa-L2_sp002719815	72.15	2.5	marine water sample	0	0	0	0	0	0	0	0
GB_GCA_035656275.1	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__UBA184;f__UBA184;g__UBA184;s__UBA184_sp035656275	96.29	0.74	none	5	1	0	0	0	0	1	1
GB_GCA_036446855.1	d__Archaea;p__Hydrothermarchaeota;c__Hydrothermarchaeia;o__Hydrothermarchaeales;f__Hydrothermarchaeaceae;g__JAHJSX01;s__JAHJSX01_sp036446855	82.39	1.88	none	2	1	0	0	0	0	1	1
GB_GCA_021829835.1	d__Archaea;p__Micrarchaeota;c__Micrarchaeia;o__Micrarchaeales;f__CABMGC01;g__JAJZIZ01;s__JAJZIZ01_sp021829835	89.1	3.04	acid mine drainage sediment	2	1	0	0	0	0	0	0
GB_GCA_035935095.1	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__UBA183;g__UBA183;s__UBA183_sp035935095	92.75	6.94	none	2	1	0	0	0	0	0	0
RS_GCF_000632495.1	d__Archaea;p__Thermoproteota;c__Thermoprotei_A;o__Sulfolobales;f__Sulfolobaceae;g__Acidianus;s__Acidianus_copahuensis	99.83	0.96	hot springs	2	1	0	0	0	0	1	1
GB_GCA_001560915.1	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomethylophilaceae;g__Methanomethylophilus;s__Methanomethylophilus_sp001560915	99.9	0.35	rumen fluid	3	1	0	0	0	0	0	0
RS_GCF_030848565.1	d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Natrialbaceae;g__Natronolimnohabitans;s__Natronolimnohabitans_sp030848565	99.95	3.94	aerobic sediments from hypersaline soda lake	10	1	0	0	2	1	1	1
GB_GCA_019323575.1	d__Archaea;p__Nanobdellota;c__Nanobdellia;o__Woesearchaeales;f__ARS49;g__CABMGU01;s__CABMGU01_sp019323575	97.15	2.08	coastal marine sediment	2	1	0	0	0	0	0	0
RS_GCF_001541925.1	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Nitrosopumilus;s__Nitrosopumilus_sp001541925	99.6	0	none	3	1	0	0	0	0	0	0
GB_GCA_038851755.1	d__Archaea;p__Hadarchaeota;c__Hadarchaeia;o__Hadarchaeales;f__WYZ-LMO6;g__WYZ-LMO6;s__WYZ-LMO6_sp038851755	93.04	0.04	none	1	1	0	0	0	0	3	1
GB_GCA_902578515.1	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Nitrosopelagicus;s__Nitrosopelagicus_sp902578515	57.87	0.26	marine water	1	1	0	0	0	0	0	0
GB_GCA_003056285.1	d__Archaea;p__Thermoproteota;c__Nitrososphaeria_A;o__Caldarchaeales;f__Wolframiiraptoraceae;g__Terraquivivens;s__Terraquivivens_tikiterensis	96.86	0.45	terrestrial hot spring	0	0	0	0	0	0	1	1
GB_GCA_030042955.1	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__UBA184;f__UBA184;g__UBA184;s__UBA184_sp030042955	59.4	1.58	peat soil	1	1	0	0	0	0	0	0
GB_GCA_013331535.1	d__Archaea;p__Micrarchaeota;c__Micrarchaeia;o__Anstonellales;f__Bilamarchaeaceae;g__UBA10214;s__UBA10214_sp10214u	84.17	0.55	groundwater	2	1	0	0	0	0	0	0
GB_GCA_021852055.1	d__Archaea;p__Micrarchaeota;c__Micrarchaeia;o__Micrarchaeales;f__CABMGC01;g__JAJZOD01;s__JAJZOD01_sp021852055	90.02	0.05	acid mine drainage sediment	1	1	0	0	0	0	0	0
GB_GCA_004332335.1	d__Archaea;p__Halobacteriota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanospirillaceae;g__UBA288;s__UBA288_sp004332335	92.74	0.78	benthic mat of the anoxic basin of freshwater perennially frozen lake	3	1	0	0	0	0	1	1
GB_GCA_013330385.1	d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__Poseidoniales;f__Thalassarchaeaceae;g__MGIIb-O1;s__MGIIb-O1_sp12570u	74.71	1.18	marine	0	0	0	0	0	0	0	0
GB_GCA_022865445.1	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__UBA10834;f__UBA10834;g__COMBO-56-21;s__COMBO-56-21_sp022865445	84.11	5.74	Polar Fox Lagoon sediment taken using 3m corer (60 mm diameter)	4	1	0	0	0	0	1	1
GB_GCA_015521175.1	d__Archaea;p__Thermoproteota;c__Thermoprotei_A;o__Sulfolobales;f__Acidilobaceae;g__Thermodiscus;s__Thermodiscus_sp015521175	83.21	0.2	deep-sea hydrothermal deposit	2	1	0	0	0	0	0	0
GB_GCA_002501845.1	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrososphaeraceae;g__Nitrososphaera;s__Nitrososphaera_sp002501845	69.23	0.48	soil	1	1	0	0	0	0	2	1
GB_GCA_041499475.1	d__Archaea;p__Thermoplasmatota;c__DTKX01;o__DTKX01;f__DATEUP01;g__DATEUP01;s__DATEUP01_sp041499475	85.5	3.08	none	5	1	0	0	0	0	1	1
GB_GCA_028706745.1	d__Archaea;p__Nanobdellota;c__Nanobdellia;o__SCGC-AAA011-G17;f__GW2011-AR17;g__UBA9640;s__UBA9640_sp028706745	99.85	1.58	NEUS_B leachate from a leachate well at an active municipal landfill in the North Eastern United States	1	1	0	0	0	0	0	0
GB_GCA_041654895.1	d__Archaea;p__Nanobdellota;c__Nanobdellia;o__Pacearchaeales;f__GW2011-AR1;g__JAGVXH01;s__JAGVXH01_sp041654895	92.47	0.68	none	0	0	0	0	0	0	0	0
GB_GCA_026394995.1	d__Archaea;p__Nanobdellota;c__Nanobdellia;o__SCGC-AAA011-G17;f__JAPLZO01;g__JAPLZO01;s__JAPLZO01_sp026394995	61.11	0.46	lake sediment	1	1	0	0	0	0	0	0
RS_GCF_002214565.1	d__Archaea;p__Methanobacteriota_B;c__Thermococci;o__Thermococcales;f__Thermococcaceae;g__Thermococcus;s__Thermococcus_radiotolerans	99.9	0.1	hydrothermal chimney sample	6	1	0	0	2	1	2	1
RS_GCF_002156965.1	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Nitrosopumilus;s__Nitrosopumilus_catalinensis	98.88	0.01	seawater	3	1	0	0	0	0	0	0
GB_GCA_013287585.1	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__TA-20;s__TA-20_sp013287585	77.29	0.23	soil	1	1	0	0	0	0	0	0
GB_GCA_021785805.1	d__Archaea;p__Micrarchaeota;c__Micrarchaeia;o__Micrarchaeales;f__Micrarchaeaceae;g__JAJZYD01;s__JAJZYD01_sp021785805	84.11	0.61	acid mine drainage sediment	1	1	0	0	0	0	0	0
GB_GCA_024167805.1	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium_B;s__Methanobacterium_B_sp024167805	93.94	2.16	Enrichment slurry	3	1	0	0	0	0	0	0
GB_GCA_028715885.1	d__Archaea;p__Halobacteriota;c__Methanosarcinia;o__Methanosarcinales;f__Methanoperedenaceae;g__Methanoperedens;s__Methanoperedens_sp028715885	95.33	1.32	NEUS_D1 leachate from a leachate well at an active municipal landfill in the North Eastern United States	1	1	0	0	0	0	1	1
GB_GCA_021811435.1	d__Archaea;p__Micrarchaeota;c__Micrarchaeia;o__Micrarchaeales;f__Micrarchaeaceae;g__JAKATK01;s__JAKATK01_sp021811435	92.69	0.36	acid mine drainage sediment	3	1	0	0	0	0	1	1
GB_GCA_035289205.1	d__Archaea;p__Aenigmatarchaeota;c__Aenigmatarchaeia;o__Aenigmatarchaeales;f__DATDXV01;g__DATDXV01;s__DATDXV01_sp035289205	90.34	0.27	none	1	1	0	0	0	0	0	0
GB_GCA_013329045.1	d__Archaea;p__Nanobdellota;c__Nanobdellia;o__Woesearchaeales;f__UBA9989;g__UBA9989;s__UBA9989_sp9989u	90.21	1.83	groundwater	5	1	0	0	0	0	1	1
GB_GCA_013306035.1	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__UBA57;g__UBA57;s__UBA57_sp002494565	92.59	0.75	seawater from Antarctic Bottom Water	2	1	0	0	0	0	0	0
RS_GCF_900316895.1	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanocatella;s__Methanocatella_sp900316895	91.24	1.43	none	0	0	0	0	1	1	1	1
GB_GCA_015523325.1	d__Archaea;p__Micrarchaeota;c__Micrarchaeia;o__Anstonellales;f__J096;g__WAKO01;s__WAKO01_sp015523325	86.57	0.21	deep-sea hydrothermal deposit	2	1	0	0	0	0	0	0
GB_GCA_014523525.1	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrososphaeraceae;g__TA-21;s__TA-21_sp014523525	88.28	1.82	river sediment	4	1	0	0	0	0	1	1
GB_GCA_031282985.1	d__Archaea;p__Thermoproteota;c__Bathyarchaeia;o__Bathyarchaeales;f__Bathycorpusculaceae;g__Bathycorpusculum;s__Bathycorpusculum_sp031282985	88.91	0.36	termite gut	1	1	0	0	0	0	1	1
GB_GCA_036158745.1	d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__Poseidoniales;f__Poseidoniaceae;g__MGIIa-L2;s__MGIIa-L2_sp036158745	62.22	0.57	none	0	0	0	0	0	0	1	1
GB_GCA_020855015.1	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium;s__Methanobacterium_sp020855015	86.21	0.19	granular sludge from mesophilic upflow sludge blanket reactor	3	1	0	0	0	0	1	1
GB_GCA_001593875.1	d__Archaea;p__Thermoproteota;c__Bathyarchaeia;o__TCS64;f__B23;g__B23;s__B23_sp001593875	68.3	0.15	marine sediment sample collected by push cores at a deep sea vent site during cruise AT15-25 on Alvin dive 4358; sediment was oily and the sediment surface was covered with a white microbial mat	1	1	0	0	0	0	0	0
GB_GCA_037445145.1	d__Archaea;p__Nanobdellota;c__Nanobdellia;o__Woesearchaeales;f__ARS49;g__JAWAAW01;s__JAWAAW01_sp037445145	100	0.38	none	0	0	0	0	0	0	0	0
GB_GCA_002495685.1	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__UBA412;s__UBA412_sp002495685	99.6	0.08	mud	1	1	0	0	0	0	0	0
GB_GCA_038882975.1	d__Archaea;p__Thermoproteota;c__Bathyarchaeia;o__Bathyarchaeales;f__Bathycorpusculaceae;g__JAGTQI01;s__JAGTQI01_sp038882975	94.68	2.92	none	1	1	0	0	0	0	0	0
GB_GCA_002725315.1	d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__Poseidoniales;f__Thalassarchaeaceae;g__UBA36;s__UBA36_sp002725315	81.57	0.22	marine water sample	0	0	0	0	0	0	1	1
GB_GCA_037447235.1	d__Archaea;p__Micrarchaeota;c__Micrarchaeia;o__Anstonellales;f__Bilamarchaeaceae;g__JAVZJR01;s__JAVZJR01_sp037447235	91.17	0	none	1	1	0	0	0	0	0	0
GB_GCA_036514975.1	d__Archaea;p__Thermoproteota;c__Bathyarchaeia;o__40CM-2-53-6;f__40CM-2-53-6;g__BA-19;s__BA-19_sp036514975	72.74	0.81	none	0	0	0	0	0	0	0	0
GB_GCA_018221085.1	d__Archaea;p__Nanobdellota;c__Nanobdellia;o__Woesearchaeales;f__GW2011-AR9;g__JAAOXZ01;s__JAAOXZ01_sp018221085	89.57	0.92	Hydrothermal vent sediments	3	1	0	0	0	0	0	0
GB_GCA_019322455.1	d__Archaea;p__Nanobdellota;c__Nanobdellia;o__Woesearchaeales;f__WJKL01;g__JAHWIB01;s__JAHWIB01_sp019322455	89.61	5.94	coastal marine sediment	3	1	0	0	0	0	0	0
GB_GCA_035253885.1	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrososphaeraceae;g__TH1177;s__TH1177_sp035253885	69.75	0.38	none	1	1	0	0	0	0	0	0
RS_GCF_037914945.1	d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Natrialbaceae;g__Haloterrigena;s__Haloterrigena_sp037914945	99.46	1.21	none	5	1	0	0	4	1	2	1
RS_GCF_003431325.1	d__Archaea;p__Thermoproteota;c__Thermoprotei_A;o__Sulfolobales;f__Acidilobaceae;g__Acidilobus;s__Acidilobus_sp003431325	99.94	0.43	water and sediment	1	1	0	0	0	0	2	1
RS_GCF_023566055.1	d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Natrialbaceae;g__Halosolutus;s__Halosolutus_amylolyticus	99.98	3.31	salt field sediment	10	1	0	0	3	1	2	1
GB_GCA_041641615.1	d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloferacaceae;g__Salinigranum;s__Salinigranum_sp041641615	82.58	3.02	none	2	1	0	0	2	1	3	1
GB_GCA_034521615.1	d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__UBA12382;g__JAXHME01;s__JAXHME01_sp034521615	67.57	2.95	none	2	1	0	0	0	0	3	1
GB_GCA_030699005.1	d__Archaea;p__Nanobdellota;c__Nanobdellia;o__Pacearchaeales;f__GW2011-AR1;g__GW2011-AR1;s__GW2011-AR1_sp030699005	78.92	0.28	groundwater	1	1	0	0	0	0	0	0
GB_GCA_035455205.1	d__Archaea;p__Micrarchaeota;c__Micrarchaeia;o__Anstonellales;f__Bilamarchaeaceae;g__Bilamarchaeum;s__Bilamarchaeum_sp035455205	81.9	1.28	none	3	1	0	0	0	0	0	0
RS_GCF_031624605.1	d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloarculaceae;g__Haloarcula;s__Haloarcula_onubensis	100	6.56	none	5	1	0	0	0	0	2	1
RS_GCF_900114455.1	d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloferacaceae;g__Halogranum;s__Halogranum_rubrum	99.99	3.45	none	6	1	0	0	5	1	3	1
GB_GCA_002504495.1	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomethylophilaceae;g__Methanoprimaticola;s__Methanoprimaticola_sp002504495	80.9	0.5	feces	2	1	0	0	0	0	1	1
GB_GCA_032906765.1	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__UBA183;g__DASPPF01;s__DASPPF01_sp032906765	95.59	3.73	none	1	1	0	0	0	0	0	0
GB_GCA_015063285.1	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomethylophilaceae;g__Methanoprimaticola;s__Methanoprimaticola_sp015063285	96.73	0.31	feces	4	1	0	0	1	1	1	1
GB_GCA_028355015.1	d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__Poseidoniales;f__Thalassarchaeaceae;g__MGIIb-O2;s__MGIIb-O2_sp002494975	84.24	0.08	single cell amplified by WGA-X; Bigelow Laboratory Dock	0	0	0	0	0	0	1	1
GB_GCA_022750155.1	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__UBA184;f__UBA184;g__UBA184;s__UBA184_sp022750155	93.7	1.82	acidic soil	1	1	0	0	0	0	1	1
RS_GCF_024362405.1	d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloarculaceae;g__Halorarius;s__Halorarius_litoreus	99.88	5.98	saline-alkali soil	3	1	0	0	0	0	3	1
GB_GCA_026015035.1	d__Archaea;p__Thermoproteota;c__Bathyarchaeia;o__RBG-16-48-13;f__GCA-020355125;g__DAOVBJ01;s__DAOVBJ01_sp026015035	88.07	7.39	coastal sediment from A2-3 Core	1	1	0	0	0	0	0	0
GB_GCA_028343215.1	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Nitrosopelagicus;s__Nitrosopelagicus_sp028343215	74.72	0.06	single cell amplified by WGA-X; Northern Atlantic	1	1	0	0	0	0	0	0
GB_GCA_017608525.1	d__Archaea;p__Nanobdellota;c__Nanobdellia;o__SCGC-AAA011-G17;f__GW2011-AR17;g__JAFCFS01;s__JAFCFS01_sp017608525	90.24	1.5	marine sediment	3	1	0	0	0	0	0	0
GB_GCA_028279595.1	d__Archaea;p__Thermoplasmatota;c__JAKEGO01;o__JAKEGO01;f__JAKEGO01;g__JANQNK01;s__JANQNK01_sp028279595	85.96	0.2	Coral skeleton	3	1	0	0	0	0	0	0
RS_GCF_008709555.1	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Thermoplasmatales;f__Thermoplasmataceae;g__Thermoplasma;s__Thermoplasma_sp008709555	99.8	0.21	sediments of hot spring	1	1	0	0	0	0	0	0
GB_GCA_009903405.1	d__Archaea;p__Halobacteriota;c__Syntropharchaeia;o__Alkanophagales;f__Methanospirareceae;g__QENH01;s__QENH01_sp009903405	75.37	1.13	single cell amplified by MDA; marine sediment	2	1	0	0	0	0	0	0
GB_GCA_025457865.1	d__Archaea;p__Thermoplasmatota;c__EX4484-6;o__EX4484-6;f__EX4484-6;g__JALOTP01;s__JALOTP01_sp025457865	89.47	1.86	Wetland A3	3	1	0	0	0	0	1	1
GB_GCA_038801785.1	d__Archaea;p__Thermoproteota;c__Methanomethylicia;o__Methanomethylicales;f__Methanomethylicaceae;g__JAULTD01;s__JAULTD01_sp038801785	74.86	0.47	none	2	1	0	0	0	0	3	1
GB_GCA_902158745.1	d__Archaea;p__Halobacteriota;c__Methanoliparia;o__Methanoliparales;f__Methanoliparaceae;g__Methanolliviera;s__Methanolliviera_sp902158745	91.28	2.58	gravity core from an asphalt area	3	1	0	0	0	0	0	0
GB_GCA_031277345.1	d__Archaea;p__Thermoproteota;c__Bathyarchaeia;o__Bathyarchaeales;f__Bathycorpusculaceae;g__Bathycorpusculum;s__Bathycorpusculum_soli	91.18	1.17	termite gut	1	1	0	0	0	0	0	0
GB_GCA_028700095.1	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium_B;s__Methanobacterium_B_sp028700095	89.41	0.52	NEUS_F1 leachate from a leachate well at an active municipal landfill in the North Eastern United States	0	0	0	0	0	0	0	0
GB_GCA_902511005.1	d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__Poseidoniales;f__Thalassarchaeaceae;g__MGIIb-O2;s__MGIIb-O2_sp902511005	72.35	0.09	marine water	0	0	0	0	0	0	1	1
RS_GCF_002067035.1	d__Archaea;p__Halobacteriota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanospirillaceae;g__Methanoregula;s__Methanoregula_sp002067035	98.26	0.6	Full-scale methanogenic bioreactor treating purified terephthalic acid process wastewater	6	1	0	0	0	0	1	1
GB_GCA_034660355.1	d__Archaea;p__Nanobdellota;c__Nanobdellia;o__Woesearchaeales;f__JACPBV01;g__JAYEIZ01;s__JAYEIZ01_sp034660355	92.25	2.01	none	1	1	0	0	0	0	0	0
RS_GCF_039641995.1	d__Archaea;p__Halobacteriota;c__Archaeoglobi;o__Archaeoglobales;f__Archaeoglobaceae;g__Geoglobus;s__Geoglobus_acetivorans	99.98	0.33	none	3	1	0	0	0	0	1	1
GB_GCA_014729705.1	d__Archaea;p__Altiarchaeota;c__Altiarchaeia;o__IMC4;f__SCGC-AAA252-I15;g__WJJK01;s__WJJK01_sp014729705	82.06	5.29	microbial mat from hypersaline water environment	5	1	0	0	0	0	0	0
GB_GCA_030615175.1	d__Archaea;p__Nanobdellota;c__Nanobdellia;o__WJKC01;f__WJKC01;g__JAFCFT01;s__JAFCFT01_sp030615175	86.86	0.48	cold seep	0	0	0	0	0	0	0	0
GB_GCA_018829845.1	d__Archaea;p__Nanobdellota;c__Nanobdellia;o__Pacearchaeales;f__JAHJTO01;g__JAHJTO01;s__JAHJTO01_sp018829845	87.13	3.08	Aspo HRL	0	0	0	0	0	0	0	0
GB_GCA_034659995.1	d__Archaea;p__Methanobacteriota_B;c__Thermococci;o__Methanofastidiosales;f__B48-G16;g__JAYEIH01;s__JAYEIH01_sp034659995	94.79	0.05	none	2	1	0	0	0	0	0	0
GB_GCA_023248455.1	d__Archaea;p__Micrarchaeota;c__Micrarchaeia;o__Anstonellales;f__Anstonellaceae;g__UBA10161;s__UBA10161_sp023248455	55.11	0.22	groundwater	4	1	0	0	0	0	0	0
GB_GCA_040405695.1	d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloferacaceae;g__Halorubrum;s__Halorubrum_sp040405695	81.14	0.33	none	1	1	0	0	0	0	2	1
RS_GCF_002252985.1	d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloferacaceae;g__Halorubrum;s__Halorubrum_halodurans	94.94	0.35	endorheic salt-lake	2	1	0	0	3	1	1	1
GB_GCA_002502135.1	d__Archaea;p__Undinarchaeota;c__Undinarchaeia;o__Undinarchaeales;f__UBA543;g__UBA543;s__UBA543_sp002502135	78.37	0.17	saline water (ENVO:00002010); including plankton (ENVO:xxxxxxxx)	4	1	0	0	0	0	0	0
GB_GCA_041652755.1	d__Archaea;p__Nanobdellota;c__Nanobdellia;o__Tiddalikarchaeales;f__Tiddalikarchaeaceae;g__JAQTTT01;s__JAQTTT01_sp041652755	93.04	2.04	none	0	0	0	0	0	0	0	0
