KEGG_ko	arc_domain_prop	bac_domain_prop	Gene	Map	Pathway	alignment_length	highest_COG_cat	difference_1st_and_2nd	categories	COG_freq	COG_cat	archaea	bacteria	alternative_COGs	COG_perc	COG	COG_NAME	COG_TAG	sequences	Arc_prop	Bac_prop	constrained_median	ML_median	MEAN_OF_MEDIANS	RANGE_OF_MEDIANS	Probable_and_sampling_threshold_met	Possible_and_sampling_threshold_met	Probable	Possible
K00018	0.0971428571428571	0.2136752136752136	hprA; glycerate dehydrogenase [EC:1.1.1.29]	path:map00260,path:map00630,path:map00680,path:map01100,path:map01110,path:map01120,path:map01200	Glycine, serine and threonine metabolism,Glyoxylate and dicarboxylate metabolism,Methane metabolism,Metabolic pathways,Biosynthesis of secondary metabolites,Microbial metabolism in diverse environments,Carbon metabolism	207.0	65.0	5.0	4.0	0.492424242424242	CH	43.0	89.0	2.0	0.916666666666667	COG1052	Lactate_dehydrogenase_or_related_2-hydroxyacid_dehydrogenase	LdhA	132.0	0.3257575757575757	0.6742424242424242	0.0181737340796171	0.333978252214456	0.1760759931470365	0.3158045181348389	0	0	0	0
K00019	0.0714285714285714	0.2222222222222222	BDH1, bdhA; 3-hydroxybutyrate dehydrogenase [EC:1.1.1.30]	path:map00650,path:map01100	Butanoate metabolism,Metabolic pathways	217.0	99.0	75.0	3.0	0.792	IQ	28.0	97.0	1.0	1.0	COG1028	NAD(P)-dependent_dehydrogenase,_short-chain_alcohol_dehydrogenase_family	FabG	125.0	0.224	0.776	0.0040051468793406	0.0497994801216016	0.0269023135004711	0.0457943332422609	0	0	0	0
K00020	0.18	0.4159544159544159	HIBADH, mmsB; 3-hydroxyisobutyrate dehydrogenase [EC:1.1.1.31]	path:map00280,path:map01100	Valine, leucine and isoleucine degradation,Metabolic pathways	109.0	307.0	246.0	3.0	0.82972972972973	I	92.0	278.0	5.0	0.964864864864865	COG2084	3-hydroxyisobutyrate_dehydrogenase_or_related_beta-hydroxyacid_dehydrogenase	MmsB	370.0	0.2486486486486486	0.7513513513513513	0.0037974375442061	0.112727877421083	0.0582626574826445	0.1089304398768769	0	0	0	0
K00021	0.46	0.0598290598290598	HMGCR; hydroxymethylglutaryl-CoA reductase (NADPH) [EC:1.1.1.34]	path:map00900,path:map01100,path:map01110,path:map04152,path:map04976	Terpenoid backbone biosynthesis,Metabolic pathways,Biosynthesis of secondary metabolites,AMPK signaling pathway,Bile secretion	274.0	187.0	182.0	3.0	0.968911917098446	I	170.0	23.0	2.0	0.994818652849741	COG1257	Hydroxymethylglutaryl-CoA_reductase	HMG1	193.0	0.8808290155440415	0.1191709844559585	0.3008070030733	0.532043968802929	0.4164254859381145	0.231236965729629	0	0	0	0
K00023	0.08	0.1538461538461538	phbB; acetoacetyl-CoA reductase [EC:1.1.1.36]	path:map00630,path:map00650,path:map01100,path:map01120,path:map01200	Glyoxylate and dicarboxylate metabolism,Butanoate metabolism,Metabolic pathways,Microbial metabolism in diverse environments,Carbon metabolism	185.0	74.0	50.0	3.0	0.747474747474748	IQ	28.0	71.0	1.0	1.0	COG1028	NAD(P)-dependent_dehydrogenase,_short-chain_alcohol_dehydrogenase_family	FabG	99.0	0.2828282828282828	0.7171717171717171	0.0319360884789845	0.279813983441991	0.1558750359604877	0.2478778949630065	0	0	0	0
K00024	0.4514285714285714	0.6267806267806267	mdh; malate dehydrogenase [EC:1.1.1.37]	path:map00020,path:map00270,path:map00620,path:map00630,path:map00680,path:map00710,path:map00720,path:map01100,path:map01110,path:map01120,path:map01200	Citrate cycle (TCA cycle),Cysteine and methionine metabolism,Pyruvate metabolism,Glyoxylate and dicarboxylate metabolism,Methane metabolism,Carbon fixation in photosynthetic organisms,Carbon fixation pathways in prokaryotes,Metabolic pathways,Biosynthesis of secondary metabolites,Microbial metabolism in diverse environments,Carbon metabolism	199.0	420.0	0.0	1.0	1.0	C	175.0	245.0	1.0	1.0	COG0039	Malate/lactate_dehydrogenase	Mdh	420.0	0.4166666666666667	0.5833333333333334	0.792010623754843	0.640242972962672	0.7161267983587575	0.151767650792171	1	1	1	1
K00027	0.4314285714285714	0.5584045584045584	ME2, sfcA, maeA; malate dehydrogenase (oxaloacetate-decarboxylating) [EC:1.1.1.38]	path:map00620,path:map01200,path:map02020	Pyruvate metabolism,Carbon metabolism,Two-component system	279.0	414.0	0.0	1.0	1.0	C	168.0	246.0	3.0	0.905797101449275	COG0281	Malic_enzyme	SfcA	414.0	0.4057971014492754	0.5942028985507246	0.888499436970371	0.890796490223175	0.889647963596773	0.0022970532528039	1	1	1	1
K00029	0.34	0.3903133903133903	E1.1.1.40, maeB; malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+) [EC:1.1.1.40]	path:map00620,path:map00710,path:map01100,path:map01120,path:map01200,path:map03320	Pyruvate metabolism,Carbon fixation in photosynthetic organisms,Metabolic pathways,Microbial metabolism in diverse environments,Carbon metabolism,PPAR signaling pathway	332.0	319.0	0.0	1.0	1.0	C	146.0	173.0	2.0	0.639498432601881	COG0281	Malic_enzyme	SfcA	319.0	0.457680250783699	0.542319749216301	0.136536225479275	0.0319978082527603	0.0842670168660176	0.1045384172265146	0	0	0	0
K00030	0.1971428571428571	0.1965811965811965	IDH3; isocitrate dehydrogenase (NAD+) [EC:1.1.1.41]	path:map00020,path:map01100,path:map01110,path:map01120,path:map01200,path:map01210,path:map01230	Citrate cycle (TCA cycle),Metabolic pathways,Biosynthesis of secondary metabolites,Microbial metabolism in diverse environments,Carbon metabolism,2-Oxocarboxylic acid metabolism,Biosynthesis of amino acids	276.0	109.0	51.0	2.0	0.652694610778443	C	88.0	79.0	1.0	1.0	COG0473	Isocitrate/isopropylmalate_dehydrogenase	LeuB	167.0	0.5269461077844312	0.4730538922155688	0.449707719589317	0.954740371846841	0.7022240457180791	0.505032652257524	0	0	0	0
K00031	0.4085714285714286	0.6609686609686609	IDH1, IDH2, icd; isocitrate dehydrogenase [EC:1.1.1.42]	path:map00020,path:map00480,path:map00720,path:map01100,path:map01110,path:map01120,path:map01200,path:map01210,path:map01230,path:map04146,path:map05230	Citrate cycle (TCA cycle),Glutathione metabolism,Carbon fixation pathways in prokaryotes,Metabolic pathways,Biosynthesis of secondary metabolites,Microbial metabolism in diverse environments,Carbon metabolism,2-Oxocarboxylic acid metabolism,Biosynthesis of amino acids,Peroxisome,Central carbon metabolism in cancer	255.0	412.0	392.0	5.0	0.934240362811791	C	152.0	288.0	6.0	0.630385487528345	COG0538	Isocitrate_dehydrogenase	Icd	440.0	0.3454545454545454	0.6545454545454545	0.531099251510428	0.100121110119777	0.3156101808151025	0.430978141390651	0	1	0	1
K00032	0.0	0.0113960113960113	E1.1.1.43; phosphogluconate 2-dehydrogenase [EC:1.1.1.43]	path:map00030,path:map00480,path:map01100,path:map01120	Pentose phosphate pathway,Glutathione metabolism,Metabolic pathways,Microbial metabolism in diverse environments	306.0	3.0	2.0	2.0	0.75	CH	0.0	4.0	1.0	1.0	COG1052	Lactate_dehydrogenase_or_related_2-hydroxyacid_dehydrogenase	LdhA	4.0	0.0	1.0	4.24413245163553e-12	3.01761776400869e-08	1.5090210886269273e-08	3.0171933507635265e-08	0	0	0	0
K00033	0.18	0.5014245014245015	PGD, gnd, gntZ; 6-phosphogluconate dehydrogenase [EC:1.1.1.44 1.1.1.343]	path:map00030,path:map00480,path:map01100,path:map01110,path:map01120,path:map01200	Pentose phosphate pathway,Glutathione metabolism,Metabolic pathways,Biosynthesis of secondary metabolites,Microbial metabolism in diverse environments,Carbon metabolism	246.0	219.0	173.0	4.0	0.77112676056338	G	66.0	218.0	5.0	0.514084507042254	COG1023	6-phosphogluconate_dehydrogenase_(decarboxylating)	YqeC	284.0	0.2323943661971831	0.7676056338028169	0.139276831870307	0.734714135930648	0.4369954839004775	0.595437304060341	0	0	0	0
K00034	0.1085714285714285	0.2222222222222222	gdh; glucose 1-dehydrogenase [EC:1.1.1.47]	path:map00030,path:map01100,path:map01120,path:map01200	Pentose phosphate pathway,Metabolic pathways,Microbial metabolism in diverse environments,Carbon metabolism	167.0	108.0	77.0	3.0	0.771428571428571	IQ	42.0	98.0	1.0	1.0	COG1028	NAD(P)-dependent_dehydrogenase,_short-chain_alcohol_dehydrogenase_family	FabG	140.0	0.3	0.7	0.0458253997914452	0.152894795639941	0.0993600977156931	0.1070693958484957	0	0	0	0
K00035	0.0	0.017094017094017	gal; D-galactose 1-dehydrogenase [EC:1.1.1.48]	path:map00052,path:map01100	Galactose metabolism,Metabolic pathways	305.0	6.0	0.0	1.0	1.0	S	0.0	6.0	1.0	1.0	COG0673	Predicted_dehydrogenase	MviM	6.0	0.0	1.0	1.10480308642714e-06	1.3198462305548e-05	7.15163269598757e-06	1.209365921912086e-05	0	0	0	0
K00036	0.0485714285714285	0.5156695156695157	G6PD, zwf; glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49 1.1.1.363]	path:map00030,path:map00480,path:map01100,path:map01110,path:map01120,path:map01200,path:map05230,path:map05415	Pentose phosphate pathway,Glutathione metabolism,Metabolic pathways,Biosynthesis of secondary metabolites,Microbial metabolism in diverse environments,Carbon metabolism,Central carbon metabolism in cancer,Diabetic cardiomyopathy	306.0	238.0	232.0	4.0	0.944444444444444	G	19.0	233.0	3.0	0.976190476190476	COG0364	Glucose-6-phosphate_1-dehydrogenase	Zwf	252.0	0.0753968253968253	0.9246031746031746	0.0302149117772282	0.952055331549306	0.4911351216632671	0.9218404197720778	0	0	0	0
K00038	0.0085714285714285	0.0854700854700854	E1.1.1.53; 3alpha(or 20beta)-hydroxysteroid dehydrogenase [EC:1.1.1.53]	path:map00140,path:map01100	Steroid hormone biosynthesis,Metabolic pathways	200.0	44.0	43.0	3.0	0.956521739130435	IQ	3.0	43.0	2.0	0.978260869565217	COG1028	NAD(P)-dependent_dehydrogenase,_short-chain_alcohol_dehydrogenase_family	FabG	46.0	0.0652173913043478	0.9347826086956522	0.0123331200337436	0.0105358531029958	0.0114344865683697	0.0017972669307477	0	0	0	0
K00039	0.0	0.0113960113960113	rbtD; ribitol 2-dehydrogenase [EC:1.1.1.56]	path:map00040,path:map01100	Pentose and glucuronate interconversions,Metabolic pathways	242.0	4.0	0.0	1.0	1.0	S	0.0	4.0	1.0	1.0	COG4221	NADP-dependent_3-hydroxy_acid_dehydrogenase_YdfG	YdfG	4.0	0.0	1.0	0.0227428598497069	0.0516407264515901	0.0371917931506484	0.0288978666018831	0	0	0	0
K00040	0.0	0.1452991452991453	uxuB; fructuronate reductase [EC:1.1.1.57]	path:map00040,path:map01100	Pentose and glucuronate interconversions,Metabolic pathways	312.0	65.0	58.0	2.0	0.902777777777778	G	0.0	72.0	2.0	0.958333333333333	COG0246	Mannitol-1-phosphate/altronate_dehydrogenases	MtlD	72.0	0.0	1.0	0.0082205759850673	0.0187240616985474	0.0134723188418073	0.0105034857134801	0	0	0	0
K00041	0.0057142857142857	0.1225071225071225	uxaB; tagaturonate reductase [EC:1.1.1.58]	path:map00040,path:map01100	Pentose and glucuronate interconversions,Metabolic pathways	340.0	40.0	30.0	3.0	0.784313725490196	G	2.0	49.0	2.0	0.980392156862745	COG0246	Mannitol-1-phosphate/altronate_dehydrogenases	MtlD	51.0	0.0392156862745098	0.9607843137254902	0.094099652722514	0.0569886088293349	0.0755441307759244	0.037111043893179	0	0	0	0
K00042	0.0285714285714285	0.2507122507122507	garR, glxR; 2-hydroxy-3-oxopropionate reductase [EC:1.1.1.60]	path:map00630,path:map01100	Glyoxylate and dicarboxylate metabolism,Metabolic pathways	227.0	133.0	124.0	3.0	0.93006993006993	I	10.0	133.0	1.0	1.0	COG2084	3-hydroxyisobutyrate_dehydrogenase_or_related_beta-hydroxyacid_dehydrogenase	MmsB	143.0	0.0699300699300699	0.93006993006993	0.001959684898079	0.445770030342897	0.223864857620488	0.4438103454448179	0	0	0	0
K00043	0.0	0.0683760683760683	gbd; 4-hydroxybutyrate dehydrogenase [EC:1.1.1.61]	path:map00650,path:map01100,path:map01200	Butanoate metabolism,Metabolic pathways,Carbon metabolism	340.0	29.0	0.0	1.0	1.0	C	0.0	29.0	1.0	1.0	COG1454	Alcohol_dehydrogenase,_class_IV	EutG	29.0	0.0	1.0	0.0337998949871767	0.0810269661986876	0.0574134305929321	0.0472270712115109	0	0	0	0
K00045	0.0	0.0769230769230769	E1.1.1.67, mtlK; mannitol 2-dehydrogenase [EC:1.1.1.67]	path:map00051,path:map01100	Fructose and mannose metabolism,Metabolic pathways	435.0	25.0	16.0	2.0	0.735294117647059	G	0.0	34.0	1.0	1.0	COG0246	Mannitol-1-phosphate/altronate_dehydrogenases	MtlD	34.0	0.0	1.0	0.04483020223197	0.11223419395492	0.078532198093445	0.06740399172295	0	0	0	0
K00046	0.0657142857142857	0.3133903133903133	idnO; gluconate 5-dehydrogenase [EC:1.1.1.69]			177.0	178.0	169.0	3.0	0.946808510638298	IQ	25.0	163.0	1.0	1.0	COG1028	NAD(P)-dependent_dehydrogenase,_short-chain_alcohol_dehydrogenase_family	FabG	188.0	0.1329787234042553	0.8670212765957447	0.0075239711054495	0.168302161675429	0.0879130663904392	0.1607781905699795	0	0	0	0
K00048	0.0085714285714285	0.0484330484330484	fucO; lactaldehyde reductase [EC:1.1.1.77]	path:map00630,path:map00640,path:map01100,path:map01120	Glyoxylate and dicarboxylate metabolism,Propanoate metabolism,Metabolic pathways,Microbial metabolism in diverse environments	359.0	22.0	0.0	1.0	1.0	C	3.0	19.0	1.0	1.0	COG1454	Alcohol_dehydrogenase,_class_IV	EutG	22.0	0.1363636363636363	0.8636363636363636	0.156047907039666	0.351657018161669	0.2538524626006675	0.195609111122003	0	0	0	0
K00050	0.0	0.0199430199430199				314.0	6.0	2.0	2.0	0.6	C	0.0	10.0	1.0	1.0	COG1052	Lactate_dehydrogenase_or_related_2-hydroxyacid_dehydrogenase	LdhA	10.0	0.0	1.0	0.0071489766929288	0.0111391900520136	0.0091440833724712	0.0039902133590848	0	0	0	0
K00052	0.5628571428571428	0.7635327635327636	leuB, IMDH; 3-isopropylmalate dehydrogenase [EC:1.1.1.85]	path:map00290,path:map00660,path:map01100,path:map01110,path:map01210,path:map01230	Valine, leucine and isoleucine biosynthesis,C5-Branched dibasic acid metabolism,Metabolic pathways,Biosynthesis of secondary metabolites,2-Oxocarboxylic acid metabolism,Biosynthesis of amino acids	220.0	306.0	90.0	3.0	0.564575645756458	C	225.0	317.0	2.0	0.998154981549816	COG0473	Isocitrate/isopropylmalate_dehydrogenase	LeuB	542.0	0.4151291512915129	0.584870848708487	0.83512550578264	0.660496393093507	0.7478109494380736	0.1746291126891329	1	1	1	1
K00053	0.4914285714285714	0.7350427350427351	ilvC; ketol-acid reductoisomerase [EC:1.1.1.86]	path:map00290,path:map00770,path:map01100,path:map01110,path:map01210,path:map01230	Valine, leucine and isoleucine biosynthesis,Pantothenate and CoA biosynthesis,Metabolic pathways,Biosynthesis of secondary metabolites,2-Oxocarboxylic acid metabolism,Biosynthesis of amino acids	277.0	177.0	22.0	4.0	0.392461197339246	E	185.0	266.0	1.0	1.0	COG0059	Ketol-acid_reductoisomerase	IlvC	451.0	0.4101995565410199	0.5898004434589801	0.0084268920546985	0.0693197504909525	0.0388733212728255	0.060892858436254	0	0	0	0
K00054	0.4371428571428571	0.1168091168091168	mvaA; hydroxymethylglutaryl-CoA reductase [EC:1.1.1.88]	path:map00900,path:map01110	Terpenoid backbone biosynthesis,Biosynthesis of secondary metabolites	341.0	183.0	159.0	2.0	0.884057971014493	I	160.0	47.0	4.0	0.966183574879227	COG1257	Hydroxymethylglutaryl-CoA_reductase	HMG1	207.0	0.7729468599033816	0.2270531400966183	0.521891052018022	0.872420816148702	0.697155934083362	0.35052976413068	0	1	0	1
K00055	0.02	0.0626780626780626	E1.1.1.90; aryl-alcohol dehydrogenase [EC:1.1.1.90]	path:map00350,path:map00360,path:map00622,path:map00623,path:map01100,path:map01120,path:map01220	Tyrosine metabolism,Phenylalanine metabolism,Xylene degradation,Toluene degradation,Metabolic pathways,Microbial metabolism in diverse environments,Degradation of aromatic compounds	343.0	35.0	0.0	1.0	1.0	C	7.0	28.0	1.0	1.0	COG1062	Zn-dependent_alcohol/formaldehyde_dehydrogenase	FrmA	35.0	0.2	0.8	0.0266583852687475	0.0517366370279477	0.0391975111483476	0.0250782517592002	0	0	0	0
K00057	0.0714285714285714	0.8433048433048433	gpsA; glycerol-3-phosphate dehydrogenase (NAD(P)+) [EC:1.1.1.94]	path:map00564,path:map01110	Glycerophospholipid metabolism,Biosynthesis of secondary metabolites	165.0	283.0	231.0	3.0	0.842261904761905	I	26.0	310.0	1.0	1.0	COG0240	Glycerol-3-phosphate_dehydrogenase	GpsA	336.0	0.0773809523809523	0.9226190476190476	0.0132539865898681	0.0269985601377367	0.0201262733638023	0.0137445735478685	0	0	0	0
K00058	0.6885714285714286	0.8404558404558404	serA, PHGDH; D-3-phosphoglycerate dehydrogenase / 2-oxoglutarate reductase [EC:1.1.1.95 1.1.1.399]	path:map00260,path:map00270,path:map00680,path:map01100,path:map01110,path:map01120,path:map01200,path:map01230	Glycine, serine and threonine metabolism,Cysteine and methionine metabolism,Methane metabolism,Metabolic pathways,Biosynthesis of secondary metabolites,Microbial metabolism in diverse environments,Carbon metabolism,Biosynthesis of amino acids	56.0	311.0	56.0	9.0	0.324973876698015	EH	356.0	602.0	8.0	0.764522821576763	COG0111	Phosphoglycerate_dehydrogenase_or_related_dehydrogenase	SerA	958.0	0.37160751565762	0.6283924843423799	0.177598704089181	0.0408304270053054	0.1092145655472432	0.1367682770838756	0	0	0	0
